latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.57135674,-58.47822572,46.0523,0.7919,"POLYGON((-58.4781720827042 -34.5713586001524, -58.4782066271713 -34.571315238055, -58.478279358876 -34.5713548836247, -58.4782448144317 -34.571398245742, -58.4781720827042 -34.5713586001524))",48Q3CGHC+FP2Q
-34.57084244,-58.47816545,69.3998,0.8018,"POLYGON((-58.4781035191636 -34.5708564041648, -58.4781492605985 -34.5707910566404, -58.4782273821019 -34.5708284728066, -58.4781816407098 -34.570893820359, -58.4781035191636 -34.5708564041648))",48Q3CGHC+MP88
-34.5711173,-58.47762276,46.9985,0.8277,"POLYGON((-58.4775711131693 -34.5711411765504, -58.4776309315167 -34.5710688291302, -58.4776744035803 -34.5710934230012, -58.4776145852548 -34.571165770442, -58.4775711131693 -34.5711411765504))",48Q3CGHC+HX26
-34.57093765,-58.47767254,12.2145,0.7569,"POLYGON((-58.4776462008792 -34.5709424015731, -58.4776683312886 -34.5709156358196, -58.4776988696667 -34.5709329126153, -58.477676739263 -34.5709596783741, -58.4776462008792 -34.5709424015731))",48Q3CGHC+JWGF
-34.57139248,-58.47811646,26.3429,0.6529,"POLYGON((-58.4780781663371 -34.5714023232489, -58.4781138337206 -34.5713593699704, -58.4781547623967 -34.5713826243657, -58.4781190950249 -34.5714255776555, -58.4780781663371 -34.5714023232489))",48Q3CGHC+CQR7
-34.57132194,-58.47773621,47.8838,0.6964,"POLYGON((-58.4776843536679 -34.5713329940117, -58.4777298687708 -34.5712779456798, -58.477788078463 -34.5713108770469, -58.4777425633822 -34.5713659253994, -58.4776843536679 -34.5713329940117))",48Q3CGHC+FWC3
-34.57060253,-58.47766546,36.4323,0.6937,"POLYGON((-58.4776180969813 -34.5706035985429, -58.4776515266491 -34.5705650679162, -58.4777128255347 -34.5706014585193, -58.4776793958819 -34.5706399891621, -58.4776180969813 -34.5706035985429))",48Q3CGHC+QW4W
-34.57099308,-58.47780194,46.2822,0.8091,"POLYGON((-58.4777504887369 -34.5710014013774, -58.4777926512153 -34.5709504076236, -58.4778533872401 -34.5709847683292, -58.4778112247836 -34.5710357621026, -58.4777504887369 -34.5710014013774))",48Q3CGHC+JV47
-34.57090649,-58.47763897,17.4076,0.6611,"POLYGON((-58.4776076221752 -34.5709126202384, -58.4776285704606 -34.5708811840479, -58.4776702851767 -34.570900489566, -58.4776494827181 -34.5709317069446, -58.4776076221752 -34.5709126202384))",48Q3CGHC+JWQP
-34.57097046,-58.47774082,19.7488,0.7283,"POLYGON((-58.4777097859556 -34.5709824566335, -58.4777274707111 -34.5709443605898, -58.4777718451825 -34.5709584553975, -58.4777541604446 -34.5709965514472, -58.4777097859556 -34.5709824566335))",48Q3CGHC+JW63
