latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.60864714,-58.37690268,50.4568,0.6508,"POLYGON((-58.376865758503 -34.6086814683071, -58.3768711348129 -34.6086093187627, -58.3769395956936 -34.6086128061523, -58.376934219443 -34.6086849556982, -58.376865758503 -34.6086814683071))",48Q39JRF+G6X2
-34.60260292,-58.37533893,125.7877,0.7667,"POLYGON((-58.3752819876203 -34.6026588503215, -58.3752909501757 -34.6025415171007, -58.3753958701738 -34.6025469965773, -58.3753869077659 -34.6026643298023, -58.3752819876203 -34.6026588503215))",48Q39JWF+XV3R
-34.6085044,-58.38398732,30.4794,0.6928,"POLYGON((-58.3839568880261 -34.6085290624006, -58.3839598597188 -34.6084774421016, -58.3840177499069 -34.6084797203279, -58.3840147782502 -34.6085313406273, -58.3839568880261 -34.6085290624006))",48Q39JR8+HCRV
-34.59719475,-58.38006016,72.6728,0.7269,"POLYGON((-58.3800104809473 -34.5972303149318, -58.3800176980952 -34.5971532716427, -58.3801098238588 -34.5971591728362, -58.3801026067957 -34.5972362161288, -58.3800104809473 -34.5972303149318))",48Q3CJ39+4XG6
-34.60450517,-58.38325244,259.8559,0.6841,"POLYGON((-58.3832034243998 -34.6046099367357, -58.3832081660443 -34.6045143089465, -58.3831611983239 -34.6045127167389, -58.383165439509 -34.6044271828859, -58.3832653133764 -34.6044305685949, -58.3832670417996 -34.6043957098448, -58.3833220777206 -34.6043975755197, -58.383311366774 -34.6046135959148, -58.3832034243998 -34.6046099367357))",48Q39JW8+5MXQ
-34.60967571,-58.38661957,130.8645,0.7745,"POLYGON((-58.3866839830017 -34.609724609814, -58.3865402079061 -34.6097167070337, -58.3865459892062 -34.6096448079847, -58.3865858355342 -34.6096469982068, -58.3865877432754 -34.6096232724515, -58.3866916718893 -34.6096289850051, -58.3866839830017 -34.609724609814))",48Q39JR7+49CR
-34.60705241,-58.38914438,251.6918,0.7547,"POLYGON((-58.3891325 -34.607128, -58.3891349 -34.6070748, -58.3890069 -34.6070709, -58.3890104 -34.6069937, -58.3892519 -34.607001, -58.3892461 -34.6071315, -58.3891325 -34.607128))",48Q39JV6+58HV
-34.59534169,-58.38874527,91.6861,0.8123,"POLYGON((-58.3886923300064 -34.5953843854062, -58.3886985574661 -34.5952942758397, -58.3887982009237 -34.5952989849101, -58.3887919735715 -34.5953890944792, -58.3886923300064 -34.5953843854062))",48Q3CJ36+VG66
-34.60218466,-58.38040955,100.3332,0.7024,"POLYGON((-58.3805053 -34.6022134, -58.3803112 -34.6022066, -58.3803138 -34.6021559, -58.3805079 -34.6021627, -58.3805053 -34.6022134))",48Q39JX9+4RGQ
-34.60589446,-58.37340967,222.9295,0.6958,"POLYGON((-58.3733455 -34.6059822, -58.3733611 -34.6057856, -58.3734446 -34.6057901, -58.3734398 -34.6058505, -58.3734794 -34.6058527, -58.3734686 -34.6059889, -58.3733455 -34.6059822))",48Q39JVG+JJW9
-34.59563908,-58.39036581,81.3479,0.7312,"POLYGON((-58.3903297281796 -34.5957025495088, -58.3903409672467 -34.5955720155882, -58.3904018873186 -34.5955756024311, -58.3903906483494 -34.5957061363551, -58.3903297281796 -34.5957025495088))",48Q3CJ35+PVRF
-34.59722707,-58.38485077,53.8067,0.7388,"POLYGON((-58.3848157794114 -34.5972665039852, -58.3848214525588 -34.5971845777828, -58.3848857707834 -34.5971876233144, -58.384880097699 -34.5972695495184, -58.3848157794114 -34.5972665039852))",48Q3CJ38+432X
-34.61192793,-58.38631634,38.4233,0.7542,"POLYGON((-58.386288668581 -34.6119627279514, -58.3862905195795 -34.6118921692182, -58.3863440079318 -34.6118931283627, -58.3863421569787 -34.6119636870964, -58.386288668581 -34.6119627279514))",48Q39JQ7+6FFX
-34.60960932,-58.38686643,189.2706,0.7134,"POLYGON((-58.3867446044062 -34.60964093363, -58.3867511749544 -34.6095627432561, -58.3869829807475 -34.6095760589862, -58.3869776059905 -34.6096400213984, -58.3870046437191 -34.60964157451, -58.387003448148 -34.6096558024767, -58.3867446044062 -34.60964093363))",48Q39JR7+572M
-34.60584852,-58.38367657,46.7654,0.7494,"POLYGON((-58.3836410658138 -34.6058811995191, -58.3836438639816 -34.6058139067001, -58.3837120712369 -34.605815845668, -58.3837092731239 -34.6058831384871, -58.3836410658138 -34.6058811995191))",48Q39JV8+MG83
-34.59681133,-58.37906974,156.0993,0.7044,"POLYGON((-58.3791704915524 -34.5968542063148, -58.3789626015325 -34.5968418571328, -58.3789689775381 -34.5967684611439, -58.3791768673752 -34.5967808103192, -58.3791704915524 -34.5968542063148))",48Q3CJ3C+79FH
-34.60474435,-58.38459257,22.5878,0.6751,"POLYGON((-58.384563275774 -34.6047627406254, -58.3845668299748 -34.6047226316988, -58.3846218712495 -34.6047259662593, -58.3846183170752 -34.6047660751868, -58.384563275774 -34.6047627406254))",48Q39JW8+4536
-34.61162227,-58.38007285,112.6147,0.7428,"POLYGON((-58.3800294924278 -34.6116902746581, -58.3800366169929 -34.6115514730984, -58.3801162029712 -34.6115542654813, -58.3801090785382 -34.6116930670424, -58.3800294924278 -34.6116902746581))",48Q39JQ9+9X34
-34.60320364,-58.37610099,57.1187,0.692,"POLYGON((-58.3760606866641 -34.6032387580589, -58.3760646260582 -34.6031657055642, -58.376141301084 -34.6031685324727, -58.3761373617572 -34.6032415849682, -58.3760606866641 -34.6032387580589))",48Q39JWF+PH6X
-34.60266987,-58.38062732,695.657,0.7501,"POLYGON((-58.3805814204958 -34.6028292882448, -58.380588989871 -34.6027249335116, -58.380473865813 -34.602719224123, -58.3804883689351 -34.6025192808653, -58.380603492724 -34.6025249902473, -58.3806015938225 -34.6025511694527, -58.3807637223629 -34.6025592097736, -58.3807435495866 -34.6028373285801, -58.3805814204958 -34.6028292882448))",48Q39JW9+WPQ9
-34.61017317,-58.37393121,98.6502,0.668,"POLYGON((-58.3738430609971 -34.6101993703123, -58.3738453521711 -34.610158153775, -58.3738683688871 -34.610159028401, -58.3738694623698 -34.6101393573427, -58.3740127593883 -34.6101448024742, -58.374009374848 -34.6102056900709, -58.3738430609971 -34.6101993703123))",48Q39JQG+WCP2
-34.6011283,-58.38571155,106.2401,0.8371,"POLYGON((-58.3856516127785 -34.6011755413437, -58.3856574122252 -34.601082251464, -58.3857907918955 -34.6010879207107, -58.385788867761 -34.6011188731445, -58.3857562762008 -34.6011174878685, -58.3857524010135 -34.6011798253133, -58.3856516127785 -34.6011755413437))",48Q39JX7+GPVR
-34.59641134,-58.38818606,27.2249,0.6655,"POLYGON((-58.3881630402496 -34.5964419257142, -58.3881665685898 -34.5963791194438, -58.3882090662716 -34.5963807520052, -58.3882055379634 -34.5964435582761, -58.3881630402496 -34.5964419257142))",48Q3CJ36+CPPC
-34.59859469,-58.38368811,40.3697,0.7365,"POLYGON((-58.3837351959025 -34.5986174682921, -58.3836380285406 -34.5986125840046, -58.3836410184064 -34.598571913168, -58.3837381857208 -34.598576797454, -58.3837351959025 -34.5986174682921))",48Q3CJ28+HG79
-34.60351972,-58.37336481,60.6134,0.7188,"POLYGON((-58.3733117366786 -34.603546402338, -58.3733156743754 -34.6034883141714, -58.3734178844248 -34.6034930512225, -58.3734139467992 -34.6035511393905, -58.3733117366786 -34.603546402338))",48Q39JWG+HMR7
-34.60833861,-58.38655046,110.21,0.8076,"POLYGON((-58.38651469295 -34.6084176644729, -58.3865182065019 -34.6082585250862, -58.3865862362047 -34.6082595518552, -58.3865827227826 -34.6084186912407, -58.38651469295 -34.6084176644729))",48Q39JR7+M98F
-34.59690822,-58.38775842,151.6437,0.7645,"POLYGON((-58.3877158084082 -34.5970099557136, -58.3877291295668 -34.5968033157953, -58.387801027766 -34.5968064851926, -58.3877877067847 -34.5970131251144, -58.3877158084082 -34.5970099557136))",48Q3CJ36+6VQP
-34.60131845,-58.37289076,33.042,0.7035,"POLYGON((-58.3728528441503 -34.6013389702977, -58.3728559098613 -34.6012944935278, -58.3729286691228 -34.6012979225532, -58.3729256034489 -34.6013423993238, -58.3728528441503 -34.6013389702977))",48Q39JXG+FRH7
