latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
-34.5720562,-58.47765614,66.661,0.8442,"POLYGON((-58.4775919152843 -34.5720576595648, -58.477636194981 -34.5720056817875, -58.4777203677432 -34.5720547447518, -58.4776760880748 -34.5721067225585, -58.4775919152843 -34.5720576595648))",48Q3CGHC+5WHJ
-34.57071259,-58.47647976,71.2241,0.8584,"POLYGON((-58.4764786071707 -34.5706579893393, -58.4765435292494 -34.5706984764433, -58.4764809109381 -34.5707671812175, -58.4764159888333 -34.5707266940812, -58.4764786071707 -34.5706579893393))",48Q3CGHF+PC6G
-34.57224311,-58.47663504,33.888,0.7291,"POLYGON((-58.4765893677195 -34.5722450228362, -58.4766203167689 -34.5722072865997, -58.4766807227171 -34.5722411836429, -58.476649773684 -34.5722789198942, -58.4765893677195 -34.5722450228362))",48Q3CGHF+4858
-34.57015794,-58.47862526,26.931,0.7402,"POLYGON((-58.4786346143811 -34.5701201254659, -58.4786651798423 -34.5701379543131, -58.4786159071991 -34.5701957544941, -58.4785853417257 -34.5701779256357, -58.4786346143811 -34.5701201254659))",48Q3CGHC+WGQQ
-34.57203553,-58.47902868,44.8922,0.7868,"POLYGON((-58.4789791617555 -34.5720546841432, -58.4790304019812 -34.5719903361771, -58.4790781924019 -34.5720163744785, -58.4790269521985 -34.5720807224643, -58.4789791617555 -34.5720546841432))",48Q3CGHC+59QC
-34.57037567,-58.47824025,28.6965,0.7348,"POLYGON((-58.4782016352699 -34.5703884491887, -58.4782343391947 -34.5703411424173, -58.4782788766845 -34.5703629029197, -58.4782461727774 -34.5704102097023, -58.4782016352699 -34.5703884491887))",48Q3CGHC+RPRV
-34.57236702,-58.47814813,112.3703,0.7491,"POLYGON((-58.4780626845095 -34.5723646735203, -58.4781158307976 -34.5723015458988, -58.4782335729964 -34.5723693689818, -58.4781804267569 -34.5724324966521, -58.4780626845095 -34.5723646735203))",48Q3CGHC+3P57
-34.5708034,-58.47875218,11.4418,0.6501,"POLYGON((-58.478725524745 -34.5708089092679, -58.4787325143031 -34.5707855410323, -58.4787621126627 -34.5707915986242, -58.4787865621017 -34.5708214011473, -58.478725524745 -34.5708089092679))",48Q3CGHC+MFHX
-34.5719815,-58.47717803,11.9042,0.7065,"POLYGON((-58.4771510593475 -34.5719829181531, -58.4771696381226 -34.5719602646823, -58.4772049855022 -34.5719800998458, -58.4771864067324 -34.5720027533223, -58.4771510593475 -34.5719829181531))",48Q3CGHF+644M
-34.57203885,-58.48026244,114.6833,0.8158,"POLYGON((-58.4802451956509 -34.5719743805884, -58.4803552181594 -34.5720394241395, -58.4803123115048 -34.5720890831529, -58.4802619635857 -34.5720593182844, -58.4802331162281 -34.572092705379, -58.480173441591 -34.5720574266454, -58.4802451956509 -34.5719743805884))",48Q3CGH9+5VQG
-34.56905762,-58.47837675,13.1147,0.6963,"POLYGON((-58.4783848400841 -34.569079939846, -58.4783487260509 -34.5690598887864, -58.4783686784359 -34.5690352986687, -58.478404792463 -34.5690553497225, -58.4783848400841 -34.569079939846))",48Q3CGJC+9JHQ
-34.57065269,-58.477979,89.5355,0.7922,"POLYGON((-58.4779226658782 -34.5706983459221, -58.4779630678608 -34.5706507717433, -58.4779263973633 -34.5706294629659, -58.4779640030737 -34.5705851814201, -58.4780471005942 -34.5706334683283, -58.4779690929403 -34.5707253240923, -58.4779226658782 -34.5706983459221))",48Q3CGHC+PRJW
-34.57088757,-58.48001314,123.6141,0.7861,"POLYGON((-58.4799299279816 -34.5709084417692, -58.4800086980177 -34.570815730005, -58.4800963596215 -34.5708666916157, -58.4800175896382 -34.5709594034342, -58.4799299279816 -34.5709084417692))",48Q3CGH9+JXXG
-34.57161238,-58.47933892,44.6829,0.6892,"POLYGON((-58.4793612481728 -34.5715501489637, -58.4793771527257 -34.5715585400259, -58.4793594627049 -34.5715814821519, -58.479382780867 -34.5715937845447, -58.479328624233 -34.5716640200278, -58.4792894014944 -34.5716433265535, -58.4793612481728 -34.5715501489637))",48Q3CGHC+973C
-34.56987542,-58.477187,59.872,0.6958,"POLYGON((-58.4771287402407 -34.569886809114, -58.4771807783642 -34.5698261748466, -58.4772452633446 -34.5698640435448, -58.4771932252465 -34.5699246778388, -58.4771287402407 -34.569886809114))",48Q3CGJF+24WR
-34.57075529,-58.47766957,16.2651,0.671,"POLYGON((-58.4776443299317 -34.5707703106024, -58.4776500956108 -34.5707352239946, -58.4776948018494 -34.5707402507284, -58.4776890361881 -34.5707753373378, -58.4776443299317 -34.5707703106024))",48Q3CGHC+MWWP
-34.57158153,-58.47664184,18.4895,0.6703,"POLYGON((-58.4766323092826 -34.5715532941069, -58.476667049418 -34.5715609356805, -58.476651353746 -34.5716097592479, -58.476616613591 -34.571602117671, -58.4766323092826 -34.5715532941069))",48Q3CGHF+989M
-34.57002549,-58.47793878,17.1316,0.6672,"POLYGON((-58.4779025795418 -34.5700194141757, -58.4779201213704 -34.5699991163546, -58.4779749829414 -34.570031558569, -58.4779574411198 -34.5700518563978, -58.4779025795418 -34.5700194141757))",48Q3CGHC+XRMX
